placename	local users	nonlocal users	percent local	edits by locals	edits by nonlocals	percent edits by locals	users0	edits0	users10	edits10	users20	edits20	users30	edits30	users40	edits40	users50	edits50	users60	edits60	users70	edits70	users80	edits80	users90	edits90
amsterdam	431	1012	0.2987	321382	3562949	0.0827	0.5925	0.4533	0.0388	0.1302	0.027	0.0215	0.0243	0.0213	0.0187	0.291	0.0208	0.0244	0.0249	0.0049	0.027	0.0441	0.0333	0.0063	0.1927	0.0031
auckland	280	372	0.4294	424809	1778238	0.1928	0.4801	0.0968	0.0353	0.3042	0.0199	0.0089	0.0169	0.0817	0.0184	0.3156	0.0184	0.0004	0.0169	0.0002	0.0199	0.1635	0.0445	0.0105	0.3298	0.0181
barcelona	784	1069	0.4231	724740	647310	0.5282	0.4889	0.2759	0.0351	0.0661	0.0178	0.0557	0.0189	0.0575	0.0162	0.0166	0.021	0.086	0.0318	0.0265	0.0362	0.0798	0.0437	0.2617	0.2903	0.0743
bayarea	2117	2002	0.514	2779906	12446570	0.1826	0.3761	0.3429	0.0369	0.1449	0.0279	0.0208	0.0255	0.2684	0.0197	0.0404	0.0311	0.0365	0.0289	0.062	0.026	0.0229	0.0456	0.0166	0.3824	0.0446
berlin	3911	3560	0.5235	6008272	4032591	0.5984	0.3508	0.0719	0.0458	0.1007	0.0316	0.0523	0.0269	0.0838	0.0214	0.0929	0.0372	0.0464	0.0333	0.326	0.036	0.0611	0.0483	0.0733	0.3686	0.0917
boston	739	926	0.4438	3869346	6940678	0.3579	0.4426	0.0455	0.0324	0.0075	0.0312	0.5767	0.0264	0.0104	0.0234	0.002	0.0306	0.1001	0.0378	0.2383	0.0312	0.0092	0.0396	0.0059	0.3045	0.0045
buenosaires	1299	576	0.6928	590235	1035006	0.3632	0.2453	0.324	0.0235	0.0542	0.0128	0.0985	0.0144	0.0105	0.0112	0.1496	0.0219	0.0038	0.0283	0.0302	0.0347	0.0237	0.0693	0.0978	0.5387	0.2076
cairo	252	401	0.3859	225695	527524	0.2996	0.5329	0.3965	0.0291	0.1332	0.0168	0.0479	0.0138	0.1122	0.0214	0.0105	0.0168	0.0183	0.0199	0.1436	0.0352	0.0294	0.0352	0.0286	0.2787	0.0798
chicago	563	917	0.3804	6420313	1445585	0.8162	0.5304	0.1276	0.0385	0.0456	0.023	0.0018	0.0155	0.0063	0.0122	0.0024	0.023	0.0982	0.0304	0.0091	0.0257	0.0594	0.0324	0.0155	0.2689	0.634
crimea	585	896	0.395	928416	2238229	0.2932	0.5253	0.4332	0.0365	0.0581	0.0169	0.0105	0.0169	0.1555	0.0095	0.0496	0.0115	0.0019	0.0176	0.0202	0.029	0.0044	0.0452	0.0672	0.2917	0.1994
cyprus	533	680	0.4394	886299	739721	0.5451	0.4913	0.1682	0.0297	0.2527	0.0181	0.0052	0.0124	0.0276	0.0091	0.0013	0.0181	0.0139	0.0157	0.0869	0.0206	0.2001	0.033	0.0419	0.352	0.2023
douala	26	112	0.1884	2913872	263717	0.917	0.7246	0.0118	0.0145	0.001	0.0362	0.0072	0.0145	0.0	0.0217	0.063	0.0072	0.0	0.0145	0.0	0.0145	0.9109	0.0072	0.0	0.1449	0.0061
haiti	994	1311	0.4312	2324301	2621433	0.47	0.4642	0.3053	0.0364	0.0571	0.0295	0.0687	0.0252	0.0294	0.0134	0.0695	0.0169	0.0286	0.023	0.0392	0.0269	0.1292	0.0438	0.0758	0.3206	0.1973
istanbul	837	703	0.5435	220361	1030762	0.1761	0.3831	0.4429	0.0338	0.147	0.0188	0.2093	0.0143	0.0226	0.0065	0.002	0.024	0.0084	0.0338	0.0119	0.0357	0.046	0.0532	0.0721	0.3968	0.0377
jakarta	887	531	0.6255	1624814	893148	0.6453	0.2708	0.08	0.0416	0.1082	0.0289	0.0169	0.0169	0.0199	0.0162	0.1296	0.0275	0.0214	0.0275	0.0499	0.0409	0.1668	0.0508	0.084	0.4788	0.3232
jerusalem	1544	1071	0.5904	5325239	2564554	0.675	0.34	0.0907	0.0207	0.0175	0.0203	0.0128	0.0141	0.0487	0.0145	0.1554	0.0291	0.1521	0.0237	0.2411	0.0337	0.0417	0.0501	0.1785	0.4539	0.0615
kathmandu	1632	1784	0.4778	1122997	1625818	0.4085	0.3364	0.4196	0.0755	0.0515	0.0471	0.0432	0.0343	0.0305	0.029	0.0467	0.0325	0.09	0.0325	0.0427	0.0375	0.074	0.0471	0.0348	0.3282	0.167
lasvegas	165	541	0.2337	94057	792431	0.1061	0.7238	0.4934	0.0212	0.391	0.0057	0.0024	0.0099	0.0003	0.0057	0.0068	0.0042	0.0002	0.0127	0.008	0.0142	0.0717	0.0241	0.0042	0.1785	0.022
london	3128	3009	0.5097	2466189	4335831	0.3626	0.3746	0.2117	0.0442	0.1798	0.0272	0.0636	0.0274	0.1252	0.0169	0.057	0.0297	0.0534	0.0295	0.0144	0.0282	0.0567	0.045	0.1389	0.3774	0.0991
losangeles	1150	1445	0.4432	2125009	5000636	0.2982	0.4813	0.5379	0.025	0.0219	0.0235	0.0697	0.0146	0.0026	0.0123	0.0698	0.0274	0.0408	0.0197	0.1542	0.022	0.0458	0.0339	0.027	0.3403	0.0304
manchester	422	710	0.3728	114414	543048	0.174	0.5274	0.4253	0.038	0.231	0.0292	0.1013	0.0194	0.0307	0.0133	0.0376	0.0274	0.034	0.0353	0.0409	0.0221	0.0126	0.0433	0.0303	0.2447	0.0562
mexicocity	777	601	0.5639	451140	402310	0.5286	0.3795	0.3431	0.0218	0.0146	0.0152	0.0248	0.008	0.0744	0.0116	0.0145	0.0283	0.1429	0.0298	0.2261	0.0181	0.0035	0.0457	0.0685	0.4419	0.0876
miami	404	724	0.3582	197257	2329104	0.0781	0.5807	0.5986	0.0266	0.0951	0.0168	0.1877	0.0098	0.0091	0.008	0.0314	0.0222	0.015	0.0195	0.0047	0.0195	0.0404	0.0168	0.0067	0.2801	0.0112
minsk	808	656	0.5519	354491	1187282	0.2299	0.2958	0.2491	0.0635	0.2833	0.0294	0.029	0.0301	0.0324	0.0294	0.1763	0.0485	0.0159	0.0423	0.0318	0.0451	0.1116	0.056	0.0474	0.36	0.0232
montevideo	257	174	0.5963	376333	451542	0.4546	0.3457	0.3004	0.0186	0.1543	0.0186	0.0789	0.0186	0.0111	0.0023	0.0007	0.0302	0.0028	0.0441	0.0013	0.0255	0.0028	0.0325	0.0339	0.464	0.4137
montreal	776	722	0.518	1040070	774182	0.5733	0.3845	0.3182	0.0287	0.0349	0.0247	0.0113	0.0234	0.0335	0.0207	0.0288	0.0294	0.0406	0.03	0.063	0.032	0.0988	0.0507	0.0428	0.3758	0.328
moscow	2057	1663	0.553	1260291	3421410	0.2692	0.3027	0.2022	0.0511	0.1415	0.036	0.214	0.0315	0.0554	0.0258	0.1177	0.0398	0.0262	0.0317	0.0438	0.0376	0.0632	0.0583	0.0713	0.3855	0.0646
mumbai	731	458	0.6148	193291	1492192	0.1147	0.2902	0.6072	0.0311	0.1989	0.0252	0.0748	0.0168	0.0003	0.0219	0.0042	0.0294	0.0018	0.0378	0.0183	0.0446	0.0049	0.058	0.0059	0.4449	0.0838
nairobi	346	404	0.4613	119459	230639	0.3412	0.4613	0.2632	0.024	0.1216	0.0213	0.1561	0.0213	0.0994	0.0107	0.0185	0.0093	0.0015	0.0173	0.0121	0.02	0.0124	0.028	0.1379	0.3867	0.1773
newyork	1750	1956	0.4722	6633937	5537934	0.545	0.4226	0.2696	0.038	0.0608	0.0264	0.0733	0.0197	0.0068	0.021	0.0445	0.0278	0.0205	0.0208	0.0041	0.0205	0.0037	0.0391	0.0088	0.364	0.5081
quebec	197	309	0.3893	171414	526657	0.2456	0.5573	0.5076	0.0178	0.0055	0.0119	0.0028	0.0119	0.2362	0.0119	0.0023	0.0257	0.004	0.0277	0.0858	0.0296	0.0051	0.0474	0.0824	0.2589	0.0682
paris	3489	3120	0.5279	9277393	12248870	0.431	0.3468	0.1506	0.0433	0.1052	0.0331	0.2378	0.026	0.0469	0.0228	0.0286	0.0354	0.2478	0.0362	0.0513	0.0387	0.0509	0.0513	0.0309	0.3663	0.05
rio	585	446	0.5674	895298	851814	0.5124	0.3579	0.1351	0.031	0.0504	0.0204	0.0073	0.0058	0.103	0.0175	0.1918	0.0213	0.1008	0.0272	0.1133	0.032	0.2481	0.0543	0.0223	0.4326	0.028
santiago	755	476	0.6133	486728	855573	0.3626	0.2949	0.4705	0.0268	0.0244	0.0162	0.0197	0.0317	0.1064	0.0171	0.0164	0.0366	0.0817	0.0268	0.0074	0.0284	0.0074	0.0593	0.1635	0.4622	0.1027
seattle	1279	1061	0.5466	3725785	2233783	0.6252	0.3624	0.2034	0.0316	0.0444	0.0252	0.0296	0.0145	0.0128	0.0197	0.0846	0.0261	0.0486	0.0261	0.2016	0.0239	0.0277	0.0479	0.0528	0.4226	0.2945
seoul	541	432	0.556	264475	549047	0.3251	0.3494	0.4402	0.0288	0.0725	0.0206	0.0164	0.0216	0.0311	0.0236	0.1148	0.0339	0.0531	0.0267	0.0259	0.0308	0.0071	0.0452	0.1069	0.4193	0.1321
sydney	887	840	0.5136	676305	1348563	0.334	0.3955	0.3113	0.0359	0.095	0.0191	0.1425	0.0203	0.0685	0.0156	0.0487	0.0324	0.0868	0.0197	0.0732	0.0313	0.0573	0.0539	0.0726	0.3764	0.0441
tirana	79	193	0.2904	6435	108570	0.056	0.6213	0.6788	0.0331	0.1872	0.0221	0.0477	0.0184	0.0182	0.0147	0.0121	0.0147	0.0138	0.0294	0.0063	0.0184	0.0032	0.011	0.0033	0.2169	0.0293
tokyo	1992	1202	0.6237	4462096	6691370	0.4001	0.2749	0.2305	0.0322	0.1124	0.0254	0.0423	0.0207	0.0473	0.0232	0.1673	0.0344	0.0867	0.0357	0.0389	0.0363	0.0421	0.0576	0.1103	0.4596	0.1221
toronto	789	795	0.4981	783590	3830781	0.1698	0.4053	0.1092	0.0316	0.0478	0.024	0.662	0.024	0.0109	0.017	0.0003	0.0335	0.0606	0.0341	0.0008	0.036	0.0809	0.0429	0.0074	0.3516	0.0202
vancouver	605	652	0.4813	920660	1771672	0.342	0.4256	0.1787	0.0342	0.2838	0.0207	0.0919	0.0215	0.0161	0.0167	0.0875	0.0223	0.018	0.031	0.0473	0.0159	0.0059	0.0469	0.0182	0.3652	0.2525
yaounde	25	182	0.1208	2570693	187829	0.9319	0.7778	0.045	0.0338	0.0044	0.0435	0.0096	0.0193	0.0091	0.0048	0.0	0.0	0.0	0.0097	0.0002	0.0193	0.9314	0.0145	0.0	0.0773	0.0003
